,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2018,2019,2020,2021,2022,2023
Montenegro,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.3,1.2,1.2,1.1,1.2
North Macedonia,Divorce Rates,Socio-economic indicators,per '000 population,-,0.9,1.1,0.8,1.1,0.9,0.9
Poland,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.7,1.3,1.6,1.6,1.5
Romania,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.6,1.2,1.4,1.2,1.2
Russia,Divorce Rates,Socio-economic indicators,per '000 population,-,4.0,4.3,3.9,4.4,4.7,4.6
Serbia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.4,1.6,1.3,1.4,1.5,1.5
Slovakia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.7,1.5,1.5,1.5,1.5
Slovenia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.1,1.2,0.8,1.1,1.2,1.2
Ukraine,Divorce Rates,Socio-economic indicators,per '000 population,-,3.6,3.3,2.9,2.9,3.2,3.8
Anguilla,Divorce Rates,Socio-economic indicators,per '000 population,-,0.2,0.2,0.2,0.2,0.2,0.2
Antigua and Barbuda,Divorce Rates,Socio-economic indicators,per '000 population,-,1.0,1.0,0.8,0.9,0.8,0.9
Aruba,Divorce Rates,Socio-economic indicators,per '000 population,-,3.7,3.5,2.7,2.9,2.8,2.9
Bahamas,Divorce Rates,Socio-economic indicators,per '000 population,-,0.7,0.7,0.6,0.6,0.6,0.6
Barbados,Divorce Rates,Socio-economic indicators,per '000 population,-,1.2,1.5,1.4,0.9,1.5,1.2
Bermuda,Divorce Rates,Socio-economic indicators,per '000 population,-,1.7,1.9,1.6,1.9,1.8,1.8
Brazil,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.5,1.2,1.4,1.5,1.4
British Virgin Islands,Divorce Rates,Socio-economic indicators,per '000 population,-,2.6,1.8,1.4,1.4,1.4,1.4
Cayman Islands,Divorce Rates,Socio-economic indicators,per '000 population,-,1.0,0.9,0.7,0.8,0.8,0.8
Chile,Divorce Rates,Socio-economic indicators,per '000 population,-,3.0,3.2,2.3,2.7,3.3,3.3
Costa Rica,Divorce Rates,Socio-economic indicators,per '000 population,-,2.2,2.8,2.3,2.8,2.7,2.6
Cuba,Divorce Rates,Socio-economic indicators,per '000 population,-,2.7,2.9,1.9,1.6,1.8,1.7
Curacao,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,2.1,1.7,1.7,1.7,1.7
Dominica,Divorce Rates,Socio-economic indicators,per '000 population,-,2.1,1.2,0.9,1.0,1.0,1.0
Dominican Republic,Divorce Rates,Socio-economic indicators,per '000 population,-,2.3,2.4,1.1,2.6,2.6,2.6
Ecuador,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.6,0.8,1.3,1.4,1.4
El Salvador,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.6,0.9,1.2,1.5,1.5
French Guiana,Divorce Rates,Socio-economic indicators,per '000 population,-,0.7,0.7,0.6,0.6,0.6,0.6
Grenada,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.4,1.1,1.2,1.2,1.2
Guadeloupe,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.3,1.0,1.1,1.1,1.1
Guatemala,Divorce Rates,Socio-economic indicators,per '000 population,-,0.4,0.5,0.2,0.6,0.5,0.5
Honduras,Divorce Rates,Socio-economic indicators,per '000 population,-,0.4,0.4,0.2,0.3,0.4,0.4
Jamaica,Divorce Rates,Socio-economic indicators,per '000 population,-,1.2,1.3,1.1,1.2,1.1,1.2
Martinique,Divorce Rates,Socio-economic indicators,per '000 population,-,0.9,0.8,0.7,0.8,0.7,0.7
Mexico,Divorce Rates,Socio-economic indicators,per '000 population,-,1.3,1.3,0.7,1.0,1.3,1.2
Nicaragua,Divorce Rates,Socio-economic indicators,per '000 population,-,1.2,1.3,1.2,1.4,1.3,1.4
Panama,Divorce Rates,Socio-economic indicators,per '000 population,-,1.1,1.1,0.7,1.2,1.1,1.0
Peru,Divorce Rates,Socio-economic indicators,per '000 population,-,0.5,0.5,0.2,0.3,0.4,0.4
Puerto Rico,Divorce Rates,Socio-economic indicators,per '000 population,-,2.9,2.6,1.5,2.1,1.8,1.9
Sint Maarten,Divorce Rates,Socio-economic indicators,per '000 population,-,2.1,1.9,1.5,1.7,1.6,1.7
St Lucia,Divorce Rates,Socio-economic indicators,per '000 population,-,0.8,0.8,0.6,0.7,0.7,0.7
St Vincent and the Grenadines,Divorce Rates,Socio-economic indicators,per '000 population,-,0.2,0.1,0.1,0.1,0.1,0.1
Suriname,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.4,1.1,1.1,1.1,1.1
Trinidad and Tobago,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,2.0,1.6,1.8,1.7,1.8
Uruguay,Divorce Rates,Socio-economic indicators,per '000 population,-,0.9,0.9,0.7,0.8,0.8,0.8
Venezuela,Divorce Rates,Socio-economic indicators,per '000 population,-,0.7,0.7,0.4,0.5,0.6,0.6
Algeria,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.5,1.4,1.4,1.5,1.5
Bahrain,Divorce Rates,Socio-economic indicators,per '000 population,-,1.2,1.2,1.1,1.1,1.2,1.1
Djibouti,Divorce Rates,Socio-economic indicators,per '000 population,-,0.6,0.6,0.5,0.6,0.5,0.6
Egypt,Divorce Rates,Socio-economic indicators,per '000 population,-,2.2,2.3,2.2,2.5,2.5,2.4
Iran,Divorce Rates,Socio-economic indicators,per '000 population,-,2.1,2.0,2.1,2.0,1.9,1.8
Israel,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.8,1.7,1.6,1.6,1.6
Jordan,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,1.8,1.6,1.8,1.8,1.7
Kuwait,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,1.8,1.3,1.9,1.9,1.7
Lebanon,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.3,1.4,1.5,1.4,1.5
Mauritius,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,1.7,1.5,1.6,1.9,1.8
Oman,Divorce Rates,Socio-economic indicators,per '000 population,-,0.8,0.8,0.8,0.8,0.8,0.8
Qatar,Divorce Rates,Socio-economic indicators,per '000 population,-,0.4,0.7,0.6,0.8,0.7,0.7
Réunion,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.6,1.3,1.4,1.3,1.4
Saudi Arabia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,1.7,1.8,1.8,1.6,1.6
Seychelles,Divorce Rates,Socio-economic indicators,per '000 population,-,1.6,1.8,1.6,1.4,1.5,1.5
South Africa,Divorce Rates,Socio-economic indicators,per '000 population,-,0.4,0.4,0.3,0.3,0.3,0.3
Syria,Divorce Rates,Socio-economic indicators,per '000 population,-,-,-,-,-,-,-
Tunisia,Divorce Rates,Socio-economic indicators,per '000 population,-,1.4,1.4,1.2,1.2,1.3,1.3
United Arab Emirates,Divorce Rates,Socio-economic indicators,per '000 population,-,0.5,0.5,0.5,0.6,0.5,0.5
Canada,Divorce Rates,Socio-economic indicators,per '000 population,-,1.7,1.5,1.1,1.5,1.9,1.8
USA,Divorce Rates,Socio-economic indicators,per '000 population,-,3.2,3.0,2.5,2.7,3.2,3.1
Andorra,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.7,1.0,1.9,1.5,1.7
Austria,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.8,1.7,1.6,1.8,1.8
Belgium,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,2.0,1.9,1.9,1.7,1.7
Cyprus,Divorce Rates,Socio-economic indicators,per '000 population,-,1.7,1.9,1.5,1.7,1.6,1.6
Denmark,Divorce Rates,Socio-economic indicators,per '000 population,-,2.6,1.8,2.7,2.2,2.1,2.1
Finland,Divorce Rates,Socio-economic indicators,per '000 population,-,2.4,2.4,2.4,2.2,2.0,2.0
France,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,1.9,1.7,1.8,1.8,1.8
Germany,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.8,1.7,1.7,1.7,1.6
Gibraltar,Divorce Rates,Socio-economic indicators,per '000 population,-,2.7,2.9,2.3,2.6,2.5,2.5
Greece,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.9,1.7,1.8,1.9,1.9
Iceland,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,2.0,1.9,1.9,1.9,1.9
Ireland,Divorce Rates,Socio-economic indicators,per '000 population,-,0.7,0.6,0.7,0.7,0.7,0.7
Italy,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.4,1.1,1.4,1.4,1.4
Liechtenstein,Divorce Rates,Socio-economic indicators,per '000 population,-,2.2,2.7,2.3,2.3,2.7,2.5
Luxembourg,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,3.1,2.3,2.2,2.2,2.2
Malta,Divorce Rates,Socio-economic indicators,per '000 population,-,0.7,0.7,0.5,0.6,0.6,0.6
Monaco,Divorce Rates,Socio-economic indicators,per '000 population,-,2.1,1.9,1.7,1.6,1.6,1.6
Netherlands,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.7,1.7,1.5,1.5,1.4
Norway,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.8,1.7,1.6,1.5,1.5
Portugal,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,2.0,1.7,1.7,1.8,1.8
Spain,Divorce Rates,Socio-economic indicators,per '000 population,-,2.0,2.0,1.6,1.8,2.0,2.0
Sweden,Divorce Rates,Socio-economic indicators,per '000 population,-,2.5,2.5,2.5,2.3,2.1,2.1
Switzerland,Divorce Rates,Socio-economic indicators,per '000 population,-,1.9,2.0,1.9,2.0,1.9,1.9
Turkey,Divorce Rates,Socio-economic indicators,per '000 population,-,1.8,1.9,1.6,2.1,2.1,2.1
United Kingdom,Divorce Rates,Socio-economic indicators,per '000 population,-,1.5,1.8,1.6,1.7,1.7,1.7
,,,,,,,,,,
Research Sources:,,,,,,,,,,
Divorce Rates: Euromonitor International from UN/Eurostat/national statistics,,,,,,,,,,
,,,,,,,,,,
Date Exported (GMT): 1/28/2024 3:14:37 PM,,,,,,,,,,
© Euromonitor International,,,,,,,,,,
